ID,type,colour,n,hectares,sq_km,ORC,name
1,Temperate or sub-polar needleleaf forest,#003D00,6692204,602298.36,6022.9836,0019,TWEEDSMUIR PARK
1,Barren lands,#A8ABAD,1375597,123803.73,1238.0373,0019,TWEEDSMUIR PARK
1,Water,#4D70A3,630758,56768.22,567.6822,0019,TWEEDSMUIR PARK
1,Temperate or sub-polar shrubland,#B38A33,604447,54400.229999999996,544.0023,0019,TWEEDSMUIR PARK
1,Mixed forest,#5C752B,527753,47497.77,474.97769999999997,0019,TWEEDSMUIR PARK
1,Temperate or sub-polar grassland,#E0CF8A,507606,45684.54,456.8454,0019,TWEEDSMUIR PARK
1,Snow and Ice,#FFFAFF,213103,19179.27,191.7927,0019,TWEEDSMUIR PARK
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,94813,8533.17,85.3317,0019,TWEEDSMUIR PARK
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,19834,1785.06,17.8506,0019,TWEEDSMUIR PARK
1,Sub-polar taiga needleleaf forest,#949C70,8029,722.61,7.2261,0019,TWEEDSMUIR PARK
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,4885,439.65,4.3965,0019,TWEEDSMUIR PARK
1,Urban,#DB2126,2844,255.95999999999998,2.5595999999999997,0019,TWEEDSMUIR PARK
1,Wetland,#6BA38A,247,22.23,0.2223,0019,TWEEDSMUIR PARK
1,Snow and Ice,#FFFAFF,3918250,352642.5,3526.425,0410,TATSHENSHINI-ALSEK PARK
1,Barren lands,#A8ABAD,3219912,289792.08,2897.9208000000003,0410,TATSHENSHINI-ALSEK PARK
1,Temperate or sub-polar needleleaf forest,#003D00,967322,87058.98,870.5898,0410,TATSHENSHINI-ALSEK PARK
1,Temperate or sub-polar shrubland,#B38A33,834821,75133.89,751.3389,0410,TATSHENSHINI-ALSEK PARK
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,339308,30537.719999999998,305.37719999999996,0410,TATSHENSHINI-ALSEK PARK
1,Water,#4D70A3,244398,21995.82,219.9582,0410,TATSHENSHINI-ALSEK PARK
1,Temperate or sub-polar grassland,#E0CF8A,231702,20853.18,208.5318,0410,TATSHENSHINI-ALSEK PARK
1,Mixed forest,#5C752B,163056,14675.039999999999,146.75039999999998,0410,TATSHENSHINI-ALSEK PARK
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,13082,1177.3799999999999,11.7738,0410,TATSHENSHINI-ALSEK PARK
1,NA,NA,7202,648.18,6.4818,0410,TATSHENSHINI-ALSEK PARK
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,6190,557.1,5.571000000000001,0410,TATSHENSHINI-ALSEK PARK
1,Sub-polar taiga needleleaf forest,#949C70,4238,381.41999999999996,3.8141999999999996,0410,TATSHENSHINI-ALSEK PARK
1,Wetland,#6BA38A,1057,95.13,0.9512999999999999,0410,TATSHENSHINI-ALSEK PARK
1,Urban,#DB2126,331,29.79,0.2979,0410,TATSHENSHINI-ALSEK PARK
1,Temperate or sub-polar needleleaf forest,#003D00,3263143,293682.87,2936.8287,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Barren lands,#A8ABAD,1733284,155995.56,1559.9556,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Temperate or sub-polar shrubland,#B38A33,1306137,117552.33,1175.5233,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Temperate or sub-polar grassland,#E0CF8A,530030,47702.7,477.027,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Mixed forest,#5C752B,234159,21074.309999999998,210.74309999999997,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,92746,8347.14,83.47139999999999,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Water,#4D70A3,76395,6875.55,68.7555,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,67140,6042.5999999999995,60.425999999999995,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,36927,3323.43,33.2343,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Snow and Ice,#FFFAFF,17176,1545.84,15.4584,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Sub-polar taiga needleleaf forest,#949C70,8780,790.1999999999999,7.901999999999999,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Wetland,#6BA38A,103,9.27,0.09269999999999999,0279,SPATSIZI PLATEAU WILDERNESS PARK
1,Urban,#DB2126,1,0.09,9e-4,0279,SPATSIZI PLATEAU WILDERNESS PARK
