ID,type,colour,n,hectares,sq_km,ORC,name
1,Temperate or sub-polar grassland,#E0CF8A,208984,18808.559999999998,188.08559999999997,9590,CHURN CREEK PROTECTED AREA
1,Temperate or sub-polar needleleaf forest,#003D00,157668,14190.119999999999,141.9012,9590,CHURN CREEK PROTECTED AREA
1,Barren lands,#A8ABAD,14405,1296.45,12.964500000000001,9590,CHURN CREEK PROTECTED AREA
1,Temperate or sub-polar shrubland,#B38A33,12698,1142.82,11.428199999999999,9590,CHURN CREEK PROTECTED AREA
1,Mixed forest,#5C752B,5180,466.2,4.662,9590,CHURN CREEK PROTECTED AREA
1,Cropland,#E6AD66,1949,175.41,1.7541,9590,CHURN CREEK PROTECTED AREA
1,Water,#4D70A3,1671,150.39,1.5038999999999998,9590,CHURN CREEK PROTECTED AREA
1,Urban,#DB2126,1428,128.51999999999998,1.2852,9590,CHURN CREEK PROTECTED AREA
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,1052,94.67999999999999,0.9468,9590,CHURN CREEK PROTECTED AREA
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,6,0.54,0.0054,9590,CHURN CREEK PROTECTED AREA
1,Temperate or sub-polar needleleaf forest,#003D00,260890,23480.1,234.801,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Barren lands,#A8ABAD,36485,3283.65,32.8365,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Mixed forest,#5C752B,29520,2656.7999999999997,26.567999999999998,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Temperate or sub-polar grassland,#E0CF8A,26365,2372.85,23.7285,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Temperate or sub-polar shrubland,#B38A33,15958,1436.22,14.3622,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Water,#4D70A3,12643,1137.87,11.378699999999998,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,4416,397.44,3.9744,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,1565,140.85,1.4084999999999999,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Sub-polar taiga needleleaf forest,#949C70,214,19.259999999999998,0.1926,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Snow and Ice,#FFFAFF,198,17.82,0.1782,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,93,8.37,0.0837,9481,HOMATHKO RIVER-TATLAYOKO PROTECTED AREA
1,Mixed forest,#5C752B,85152,7663.679999999999,76.6368,8330,KLUA LAKES PROTECTED AREA
1,Temperate or sub-polar needleleaf forest,#003D00,82441,7419.69,74.1969,8330,KLUA LAKES PROTECTED AREA
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,61899,5570.91,55.7091,8330,KLUA LAKES PROTECTED AREA
1,Temperate or sub-polar shrubland,#B38A33,41160,3704.3999999999996,37.044,8330,KLUA LAKES PROTECTED AREA
1,Water,#4D70A3,19871,1788.3899999999999,17.883899999999997,8330,KLUA LAKES PROTECTED AREA
1,Temperate or sub-polar grassland,#E0CF8A,5156,464.03999999999996,4.6404,8330,KLUA LAKES PROTECTED AREA
1,Wetland,#6BA38A,146,13.139999999999999,0.1314,8330,KLUA LAKES PROTECTED AREA
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,133,11.969999999999999,0.11969999999999999,8330,KLUA LAKES PROTECTED AREA
1,Sub-polar taiga needleleaf forest,#949C70,28,2.52,0.0252,8330,KLUA LAKES PROTECTED AREA
1,Temperate or sub-polar needleleaf forest,#003D00,142449,12820.41,128.2041,5023,MAXHAMISH LAKE PROTECTED AREA
1,Water,#4D70A3,54168,4875.12,48.7512,5023,MAXHAMISH LAKE PROTECTED AREA
1,Mixed forest,#5C752B,43372,3903.48,39.0348,5023,MAXHAMISH LAKE PROTECTED AREA
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,35046,3154.14,31.5414,5023,MAXHAMISH LAKE PROTECTED AREA
1,Temperate or sub-polar shrubland,#B38A33,6557,590.13,5.9013,5023,MAXHAMISH LAKE PROTECTED AREA
1,Wetland,#6BA38A,1027,92.42999999999999,0.9242999999999999,5023,MAXHAMISH LAKE PROTECTED AREA
1,Temperate or sub-polar needleleaf forest,#003D00,203309,18297.809999999998,182.97809999999998,0448,SNOWY PROTECTED AREA
1,Temperate or sub-polar grassland,#E0CF8A,24870,2238.2999999999997,22.382999999999996,0448,SNOWY PROTECTED AREA
1,Barren lands,#A8ABAD,21115,1900.35,19.0035,0448,SNOWY PROTECTED AREA
1,Temperate or sub-polar shrubland,#B38A33,20112,1810.08,18.1008,0448,SNOWY PROTECTED AREA
1,Sub-polar taiga needleleaf forest,#949C70,6263,563.67,5.636699999999999,0448,SNOWY PROTECTED AREA
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,3950,355.5,3.555,0448,SNOWY PROTECTED AREA
1,Mixed forest,#5C752B,2965,266.84999999999997,2.6685,0448,SNOWY PROTECTED AREA
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,690,62.099999999999994,0.621,0448,SNOWY PROTECTED AREA
1,Water,#4D70A3,596,53.64,0.5364,0448,SNOWY PROTECTED AREA
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,477,42.93,0.4293,0448,SNOWY PROTECTED AREA
1,Wetland,#6BA38A,253,22.77,0.22769999999999999,0448,SNOWY PROTECTED AREA
1,NA,NA,102,9.18,0.09179999999999999,0448,SNOWY PROTECTED AREA
1,Snow and Ice,#FFFAFF,20,1.7999999999999998,0.018,0448,SNOWY PROTECTED AREA
1,Urban,#DB2126,18,1.6199999999999999,0.0162,0448,SNOWY PROTECTED AREA
1,Temperate or sub-polar needleleaf forest,#003D00,153893,13850.369999999999,138.50369999999998,0429,CHUKACHIDA PROTECTED AREA
1,Temperate or sub-polar shrubland,#B38A33,18603,1674.27,16.7427,0429,CHUKACHIDA PROTECTED AREA
1,Water,#4D70A3,11270,1014.3,10.142999999999999,0429,CHUKACHIDA PROTECTED AREA
1,Mixed forest,#5C752B,8100,729,7.29,0429,CHUKACHIDA PROTECTED AREA
1,Barren lands,#A8ABAD,5996,539.64,5.3964,0429,CHUKACHIDA PROTECTED AREA
1,Temperate or sub-polar grassland,#E0CF8A,5710,513.9,5.138999999999999,0429,CHUKACHIDA PROTECTED AREA
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,2795,251.54999999999998,2.5155,0429,CHUKACHIDA PROTECTED AREA
1,Sub-polar taiga needleleaf forest,#949C70,760,68.39999999999999,0.6839999999999999,0429,CHUKACHIDA PROTECTED AREA
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,219,19.71,0.1971,0429,CHUKACHIDA PROTECTED AREA
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,188,16.919999999999998,0.1692,0429,CHUKACHIDA PROTECTED AREA
1,Temperate or sub-polar needleleaf forest,#003D00,126878,11419.02,114.1902,9596,DUNN PEAK PARK
1,Temperate or sub-polar grassland,#E0CF8A,28785,2590.65,25.9065,9596,DUNN PEAK PARK
1,Barren lands,#A8ABAD,16651,1498.59,14.985899999999999,9596,DUNN PEAK PARK
1,Mixed forest,#5C752B,15083,1357.47,13.5747,9596,DUNN PEAK PARK
1,Temperate or sub-polar shrubland,#B38A33,12430,1118.7,11.187000000000001,9596,DUNN PEAK PARK
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,5872,528.48,5.284800000000001,9596,DUNN PEAK PARK
1,Water,#4D70A3,4906,441.53999999999996,4.4154,9596,DUNN PEAK PARK
1,Sub-polar taiga needleleaf forest,#949C70,900,81,0.81,9596,DUNN PEAK PARK
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,218,19.62,0.1962,9596,DUNN PEAK PARK
1,Urban,#DB2126,190,17.099999999999998,0.17099999999999999,9596,DUNN PEAK PARK
