ID,type,colour,n,hectares,sq_km,ORC,name
1,Barren lands,#A8ABAD,226918,20422.62,204.22619999999998,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Temperate or sub-polar shrubland,#B38A33,85716,7714.44,77.14439999999999,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Temperate or sub-polar needleleaf forest,#003D00,69891,6290.19,62.9019,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Temperate or sub-polar grassland,#E0CF8A,35275,3174.75,31.7475,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Sub-polar or polar grassland-lichen-moss,#BAD48F,11555,1039.95,10.3995,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Snow and Ice,#FFFAFF,10864,977.76,9.7776,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Mixed forest,#5C752B,5474,492.65999999999997,4.9266,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,4667,420.03,4.2002999999999995,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,1802,162.18,1.6218000000000001,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Water,#4D70A3,1772,159.48,1.5948,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Sub-polar taiga needleleaf forest,#949C70,1506,135.54,1.3554,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Urban,#DB2126,3,0.27,0.0027,3068,GLADYS LAKE ECOLOGICAL RESERVE
1,Water,#4D70A3,358083,32227.469999999998,322.2747,3109,CHECLESET BAY ECOLOGICAL RESERVE
1,NA,NA,5645,508.04999999999995,5.0805,3109,CHECLESET BAY ECOLOGICAL RESERVE
1,Temperate or sub-polar needleleaf forest,#003D00,3918,352.62,3.5262000000000002,3109,CHECLESET BAY ECOLOGICAL RESERVE
1,Barren lands,#A8ABAD,111,9.99,0.0999,3109,CHECLESET BAY ECOLOGICAL RESERVE
1,Temperate or sub-polar grassland,#E0CF8A,84,7.56,0.0756,3109,CHECLESET BAY ECOLOGICAL RESERVE
1,Mixed forest,#5C752B,31,2.79,0.0279,3109,CHECLESET BAY ECOLOGICAL RESERVE
1,Water,#4D70A3,127669,11490.21,114.90209999999999,3103,BYERS/CONROY/HARVEY/SINNETT ISLANDS ECOLOGICAL RES
1,Temperate or sub-polar needleleaf forest,#003D00,1409,126.81,1.2681,3103,BYERS/CONROY/HARVEY/SINNETT ISLANDS ECOLOGICAL RES
1,Temperate or sub-polar grassland,#E0CF8A,171,15.389999999999999,0.15389999999999998,3103,BYERS/CONROY/HARVEY/SINNETT ISLANDS ECOLOGICAL RES
1,Barren lands,#A8ABAD,58,5.22,0.052199999999999996,3103,BYERS/CONROY/HARVEY/SINNETT ISLANDS ECOLOGICAL RES
1,Mixed forest,#5C752B,44,3.96,0.039599999999999996,3103,BYERS/CONROY/HARVEY/SINNETT ISLANDS ECOLOGICAL RES
1,Temperate or sub-polar needleleaf forest,#003D00,71639,6447.509999999999,64.4751,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Water,#4D70A3,15839,1425.51,14.2551,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Barren lands,#A8ABAD,3676,330.84,3.3084,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Temperate or sub-polar grassland,#E0CF8A,3044,273.96,2.7396,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Temperate or sub-polar shrubland,#B38A33,2381,214.29,2.1429,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Wetland,#6BA38A,1064,95.75999999999999,0.9575999999999999,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Mixed forest,#5C752B,896,80.64,0.8064,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,276,24.84,0.2484,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Snow and Ice,#FFFAFF,91,8.19,0.0819,3045,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESER
1,Temperate or sub-polar needleleaf forest,#003D00,54160,4874.4,48.744,3002,EAST REDONDA ISLAND ECOLOGICAL RESERVE
1,Mixed forest,#5C752B,11556,1040.04,10.4004,3002,EAST REDONDA ISLAND ECOLOGICAL RESERVE
1,Temperate or sub-polar shrubland,#B38A33,772,69.48,0.6948000000000001,3002,EAST REDONDA ISLAND ECOLOGICAL RESERVE
1,Temperate or sub-polar grassland,#E0CF8A,626,56.339999999999996,0.5634,3002,EAST REDONDA ISLAND ECOLOGICAL RESERVE
1,Water,#4D70A3,506,45.54,0.45539999999999997,3002,EAST REDONDA ISLAND ECOLOGICAL RESERVE
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,251,22.59,0.2259,3002,EAST REDONDA ISLAND ECOLOGICAL RESERVE
1,Barren lands,#A8ABAD,232,20.88,0.20879999999999999,3002,EAST REDONDA ISLAND ECOLOGICAL RESERVE
1,Temperate or sub-polar needleleaf forest,#003D00,33814,3043.2599999999998,30.432599999999997,3025,DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE
1,Water,#4D70A3,2987,268.83,2.6883,3025,DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE
1,Temperate or sub-polar grassland,#E0CF8A,1754,157.85999999999999,1.5785999999999998,3025,DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,1016,91.44,0.9144,3025,DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE
1,Wetland,#6BA38A,242,21.779999999999998,0.21779999999999997,3025,DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE
1,Temperate or sub-polar shrubland,#B38A33,121,10.889999999999999,0.10889999999999998,3025,DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE
1,Mixed forest,#5C752B,54,4.859999999999999,0.0486,3025,DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE
1,Barren lands,#A8ABAD,5,0.44999999999999996,0.0045,3025,DEWDNEY AND GLIDE ISLANDS ECOLOGICAL RESERVE
1,Barren lands,#A8ABAD,18059,1625.31,16.2531,3064,ILGACHUZ RANGE ECOLOGICAL RESERVE
1,Temperate or sub-polar needleleaf forest,#003D00,4947,445.22999999999996,4.452299999999999,3064,ILGACHUZ RANGE ECOLOGICAL RESERVE
1,Temperate or sub-polar grassland,#E0CF8A,3233,290.96999999999997,2.9096999999999995,3064,ILGACHUZ RANGE ECOLOGICAL RESERVE
1,Temperate or sub-polar shrubland,#B38A33,3013,271.17,2.7117,3064,ILGACHUZ RANGE ECOLOGICAL RESERVE
1,Mixed forest,#5C752B,248,22.32,0.2232,3064,ILGACHUZ RANGE ECOLOGICAL RESERVE
1,Sub-polar or polar shrubland-lichen-moss,#9C7554,105,9.45,0.09449999999999999,3064,ILGACHUZ RANGE ECOLOGICAL RESERVE
1,Temperate or sub-polar broadleaf deciduous forest,#148C3D,100,9,0.09,3064,ILGACHUZ RANGE ECOLOGICAL RESERVE
1,Water,#4D70A3,25,2.25,0.0225,3064,ILGACHUZ RANGE ECOLOGICAL RESERVE
1,Temperate or sub-polar needleleaf forest,#003D00,9559,860.31,8.6031,3056,GOOSEGRASS CREEK ECOLOGICAL RESERVE
1,Snow and Ice,#FFFAFF,8504,765.36,7.6536,3056,GOOSEGRASS CREEK ECOLOGICAL RESERVE
1,Barren lands,#A8ABAD,4011,360.99,3.6099,3056,GOOSEGRASS CREEK ECOLOGICAL RESERVE
